net,connection_count,connections
SRA1_STATUS,2,03_arm_watchdog_eligibility.kicad_sch:SRA1:Y32 | 08_compute_and_control_terminals.kicad_sch:XT1:TBD-4
WD1_COIL_N,2,03_arm_watchdog_eligibility.kicad_sch:KWD1:A2 | 07_watchdog_control.kicad_sch:Q1:TBD-COIL
WD1_DRIVE,2,07_watchdog_control.kicad_sch:WDCTRL1:5 | 07_watchdog_control.kicad_sch:Q1:TBD-IN
WD1_NC_24V,2,03_arm_watchdog_eligibility.kicad_sch:KWD1:22 | 07_watchdog_control.kicad_sch:IFB1:TBD-IN+
WD1_NC_DIAG,2,07_watchdog_control.kicad_sch:WDCTRL1:9 | 07_watchdog_control.kicad_sch:IFB1:TBD-OUT
WD1_SAFETY_IN,2,02_estop_eligibility.kicad_sch:S0:TBD-C1B | 03_arm_watchdog_eligibility.kicad_sch:KWD1:11
WD2_COIL_N,2,03_arm_watchdog_eligibility.kicad_sch:KWD2:A2 | 07_watchdog_control.kicad_sch:Q2:TBD-COIL
WD2_DRIVE,2,07_watchdog_control.kicad_sch:WDCTRL1:6 | 07_watchdog_control.kicad_sch:Q2:TBD-IN
WD2_NC_24V,2,03_arm_watchdog_eligibility.kicad_sch:KWD2:22 | 07_watchdog_control.kicad_sch:IFB2:TBD-IN+
WD2_NC_DIAG,2,07_watchdog_control.kicad_sch:WDCTRL1:10 | 07_watchdog_control.kicad_sch:IFB2:TBD-OUT
WD2_SAFETY_IN,2,02_estop_eligibility.kicad_sch:S0:TBD-C2B | 03_arm_watchdog_eligibility.kicad_sch:KWD2:11
WD_3V3,3,07_watchdog_control.kicad_sch:WDCTRL1:36 | 07_watchdog_control.kicad_sch:IFB1:TBD-3V3 | 07_watchdog_control.kicad_sch:IFB2:TBD-3V3
WD_5V,2,07_watchdog_control.kicad_sch:DC1:TBD-OUT+ | 07_watchdog_control.kicad_sch:WDCTRL1:39
WD_HEARTBEAT,2,07_watchdog_control.kicad_sch:ISO1:TBD-OUT | 07_watchdog_control.kicad_sch:WDCTRL1:4
WD_SWCLK,2,07_watchdog_control.kicad_sch:WDCTRL1:SWCLK | 08_compute_and_control_terminals.kicad_sch:JDBG1:TBD-SWCLK
WD_SWDIO,2,07_watchdog_control.kicad_sch:WDCTRL1:SWDIO | 08_compute_and_control_terminals.kicad_sch:JDBG1:TBD-SWDIO
