net,connection_count,connections
RS-RLEG_DN,8,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RLEG:LOG-DN | 06_right_leg_rs485.kicad_sch:PORT_RS_RLEG:LOG-DN | 06_right_leg_rs485.kicad_sch:AX_R_HIP_YAW:LOG-DN | 06_right_leg_rs485.kicad_sch:AX_R_HIP_ROLL:LOG-DN | 06_right_leg_rs485.kicad_sch:AX_R_HIP_PITCH:LOG-DN | 06_right_leg_rs485.kicad_sch:AX_R_KNEE_PITCH:LOG-DN | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_PITCH:LOG-DN | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_ROLL:LOG-DN
RS-RLEG_DP,8,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RLEG:LOG-DP | 06_right_leg_rs485.kicad_sch:PORT_RS_RLEG:LOG-DP | 06_right_leg_rs485.kicad_sch:AX_R_HIP_YAW:LOG-DP | 06_right_leg_rs485.kicad_sch:AX_R_HIP_ROLL:LOG-DP | 06_right_leg_rs485.kicad_sch:AX_R_HIP_PITCH:LOG-DP | 06_right_leg_rs485.kicad_sch:AX_R_KNEE_PITCH:LOG-DP | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_PITCH:LOG-DP | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_ROLL:LOG-DP
RS-RLEG_RET,9,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RLEG:LOG-REF | 06_right_leg_rs485.kicad_sch:PORT_RS_RLEG:LOG-RET | 06_right_leg_rs485.kicad_sch:PBR_RS_RLEG:LOG-RET-OUT | 06_right_leg_rs485.kicad_sch:AX_R_HIP_YAW:LOG-RET | 06_right_leg_rs485.kicad_sch:AX_R_HIP_ROLL:LOG-RET | 06_right_leg_rs485.kicad_sch:AX_R_HIP_PITCH:LOG-RET | 06_right_leg_rs485.kicad_sch:AX_R_KNEE_PITCH:LOG-RET | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_PITCH:LOG-RET | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_ROLL:LOG-RET
RS-RLEG_VDD,7,06_right_leg_rs485.kicad_sch:PBR_RS_RLEG:LOG-OUT | 06_right_leg_rs485.kicad_sch:AX_R_HIP_YAW:LOG-PWR | 06_right_leg_rs485.kicad_sch:AX_R_HIP_ROLL:LOG-PWR | 06_right_leg_rs485.kicad_sch:AX_R_HIP_PITCH:LOG-PWR | 06_right_leg_rs485.kicad_sch:AX_R_KNEE_PITCH:LOG-PWR | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_PITCH:LOG-PWR | 06_right_leg_rs485.kicad_sch:AX_R_ANKLE_ROLL:LOG-PWR
RS-WAIST_DN,3,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_WAIST:LOG-DN | 09_waist_rs485.kicad_sch:PORT_RS_WAIST:LOG-DN | 09_waist_rs485.kicad_sch:AX_WAIST_YAW:LOG-DN
RS-WAIST_DP,3,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_WAIST:LOG-DP | 09_waist_rs485.kicad_sch:PORT_RS_WAIST:LOG-DP | 09_waist_rs485.kicad_sch:AX_WAIST_YAW:LOG-DP
RS-WAIST_RET,4,04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_WAIST:LOG-REF | 09_waist_rs485.kicad_sch:PORT_RS_WAIST:LOG-RET | 09_waist_rs485.kicad_sch:PBR_RS_WAIST:LOG-RET-OUT | 09_waist_rs485.kicad_sch:AX_WAIST_YAW:LOG-RET
RS-WAIST_VDD,2,09_waist_rs485.kicad_sch:PBR_RS_WAIST:LOG-OUT | 09_waist_rs485.kicad_sch:AX_WAIST_YAW:LOG-PWR
SAFETY_PERMIT_HARDWIRED,5,01_energy_precharge_conversion.kicad_sch:DCDC1:LOG-EN | 02_estop_permit_contactors.kicad_sch:SR1:LOG-PERMIT | 02_estop_permit_contactors.kicad_sch:K1:LOG-COIL | 02_estop_permit_contactors.kicad_sch:K2:LOG-COIL | 03_compute_motion_watchdog.kicad_sch:MCU1:LOG-PERMIT
SD_POS_OUT,2,01_energy_precharge_conversion.kicad_sch:SD1:LOG-OUT | 01_energy_precharge_conversion.kicad_sch:PRE1:LOG-IN
TLM_BMS_STATUS,1,01_energy_precharge_conversion.kicad_sch:BATT1:LOG-BMS
TLM_DCDC12,1,01_energy_precharge_conversion.kicad_sch:DCDC1:LOG-TLM
TLM_PACK_TEMP,1,01_energy_precharge_conversion.kicad_sch:BATT1:LOG-TEMP
TLM_RS-LARM,1,07_left_arm_rs485.kicad_sch:PBR_RS_LARM:LOG-TLM
TLM_RS-LLEG,1,05_left_leg_rs485.kicad_sch:PBR_RS_LLEG:LOG-TLM
TLM_RS-RARM,1,08_right_arm_rs485.kicad_sch:PBR_RS_RARM:LOG-TLM
TLM_RS-RLEG,1,06_right_leg_rs485.kicad_sch:PBR_RS_RLEG:LOG-TLM
TLM_RS-WAIST,1,09_waist_rs485.kicad_sch:PBR_RS_WAIST:LOG-TLM
TLM_TTL-HEAD,1,12_head_ttl_sensors_hmi.kicad_sch:PBR_TTL_HEAD:LOG-TLM
TLM_TTL-LDIST,1,10_left_distal_ttl.kicad_sch:PBR_TTL_LDIST:LOG-TLM
TLM_TTL-RDIST,1,11_right_distal_ttl.kicad_sch:PBR_TTL_RDIST:LOG-TLM
TTL-HEAD_DATA,4,04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_HEAD:LOG-DATA | 12_head_ttl_sensors_hmi.kicad_sch:PORT_TTL_HEAD:LOG-DATA | 12_head_ttl_sensors_hmi.kicad_sch:AX_HEAD_PAN:LOG-DATA | 12_head_ttl_sensors_hmi.kicad_sch:AX_HEAD_TILT:LOG-DATA
TTL-HEAD_RET,5,04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_HEAD:LOG-REF | 12_head_ttl_sensors_hmi.kicad_sch:PORT_TTL_HEAD:LOG-RET | 12_head_ttl_sensors_hmi.kicad_sch:PBR_TTL_HEAD:LOG-RET-OUT | 12_head_ttl_sensors_hmi.kicad_sch:AX_HEAD_PAN:LOG-RET | 12_head_ttl_sensors_hmi.kicad_sch:AX_HEAD_TILT:LOG-RET
TTL-HEAD_VDD,3,12_head_ttl_sensors_hmi.kicad_sch:PBR_TTL_HEAD:LOG-OUT | 12_head_ttl_sensors_hmi.kicad_sch:AX_HEAD_PAN:LOG-PWR | 12_head_ttl_sensors_hmi.kicad_sch:AX_HEAD_TILT:LOG-PWR
TTL-LDIST_DATA,4,04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_LDIST:LOG-DATA | 10_left_distal_ttl.kicad_sch:PORT_TTL_LDIST:LOG-DATA | 10_left_distal_ttl.kicad_sch:AX_L_WRIST_ROTATION:LOG-DATA | 10_left_distal_ttl.kicad_sch:AX_L_GRIPPER:LOG-DATA
TTL-LDIST_RET,5,04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_LDIST:LOG-REF | 10_left_distal_ttl.kicad_sch:PORT_TTL_LDIST:LOG-RET | 10_left_distal_ttl.kicad_sch:PBR_TTL_LDIST:LOG-RET-OUT | 10_left_distal_ttl.kicad_sch:AX_L_WRIST_ROTATION:LOG-RET | 10_left_distal_ttl.kicad_sch:AX_L_GRIPPER:LOG-RET
TTL-LDIST_VDD,3,10_left_distal_ttl.kicad_sch:PBR_TTL_LDIST:LOG-OUT | 10_left_distal_ttl.kicad_sch:AX_L_WRIST_ROTATION:LOG-PWR | 10_left_distal_ttl.kicad_sch:AX_L_GRIPPER:LOG-PWR
TTL-RDIST_DATA,4,04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_RDIST:LOG-DATA | 11_right_distal_ttl.kicad_sch:PORT_TTL_RDIST:LOG-DATA | 11_right_distal_ttl.kicad_sch:AX_R_WRIST_ROTATION:LOG-DATA | 11_right_distal_ttl.kicad_sch:AX_R_GRIPPER:LOG-DATA
TTL-RDIST_RET,5,04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_RDIST:LOG-REF | 11_right_distal_ttl.kicad_sch:PORT_TTL_RDIST:LOG-RET | 11_right_distal_ttl.kicad_sch:PBR_TTL_RDIST:LOG-RET-OUT | 11_right_distal_ttl.kicad_sch:AX_R_WRIST_ROTATION:LOG-RET | 11_right_distal_ttl.kicad_sch:AX_R_GRIPPER:LOG-RET
TTL-RDIST_VDD,3,11_right_distal_ttl.kicad_sch:PBR_TTL_RDIST:LOG-OUT | 11_right_distal_ttl.kicad_sch:AX_R_WRIST_ROTATION:LOG-PWR | 11_right_distal_ttl.kicad_sch:AX_R_GRIPPER:LOG-PWR
UART_RS-LARM_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_LARM:LOG-RS-LARM-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LARM:LOG-DIR
UART_RS-LARM_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_LARM:LOG-RS-LARM-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LARM:LOG-RX
UART_RS-LARM_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_LARM:LOG-RS-LARM-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LARM:LOG-TX
UART_RS-LLEG_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_LLEG:LOG-RS-LLEG-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LLEG:LOG-DIR
